smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
CCCC(CCC)C(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,338.47,2.654,2,3,True,infection
NS(=O)(=O)c1ccc2c(c1)CC(NC(=O)C1CCCCC1)C2,322.43,1.498,2,3,True,infection
NS(=O)(=O)c1ccc2c(c1)CCC2NC(=O)C1CCCCC1,322.43,2.018,2,3,True,infection
NS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1c(F)c(F)c(F)c(F)c1F)C2,406.33,1.927,2,3,True,infection
NS(=O)(=O)c1ccc2c(c1)CCC2NC(=O)c1c(F)c(F)c(F)c(F)c1F,406.33,2.447,2,3,True,infection
NS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1c(F)c(F)cc(F)c1F)C2,388.34,1.788,2,3,True,infection
CCC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,268.34,0.327,2,3,True,infection
CCCC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,282.37,0.718,2,3,True,infection
CCCCC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,296.39,1.108,2,3,True,infection
CCCCCCCCCC(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,366.53,3.058,2,3,True,infection
CCCCCCCCCC(=O)NC1CCc2cc(S(N)(=O)=O)ccc21,366.53,3.578,2,3,True,infection
COc1ccc(Cl)cc1C(=O)NC1Cc2ccc(S(N)(=O)=O)cc2C1,380.85,1.893,2,4,True,infection
NS(=O)(=O)c1ccc2c(c1)CC(NC(=O)c1ccc(Cl)cc1)C2,350.83,1.885,2,3,True,infection
COc1cc2c(cc1OC)C(c1ccccc1)N(S(N)(=O)=O)CC2,348.42,1.855,1,4,True,infection
COc1cc2c(cc1OC)C(c1ccc(Br)cc1)N(S(N)(=O)=O)CC2,427.32,2.617,1,4,True,infection
COc1cc2c(cc1OC)C(c1ccc(Cl)cc1)N(S(N)(=O)=O)CC2,382.87,2.508,1,4,True,infection
COc1cc2c(cc1OC)C(c1ccc(C#N)cc1)N(S(N)(=O)=O)CC2,373.43,1.726,1,5,True,infection
COc1cc2c(cc1OC)C(c1ccc(F)cc1)N(S(N)(=O)=O)CC2,366.41,1.994,1,4,True,infection
COc1cc2c(cc1OC)C(c1ccc(C)cc1)N(S(N)(=O)=O)CC2,362.45,2.163,1,4,True,infection
COc1cc2c(cc1OC)C(c1cccc([N+](=O)[O-])c1)N(S(N)(=O)=O)CC2,393.42,1.763,1,6,True,infection
COc1cc2c(cc1OC)C(c1ccc([N+](=O)[O-])cc1)N(S(N)(=O)=O)CC2,393.42,1.763,1,6,True,infection
COc1cc2c(cc1OC)C(c1cccc(N)c1)N(S(N)(=O)=O)CC2,363.44,1.437,2,5,True,infection
COc1cc2c(cc1OC)C(c1ccc(N)cc1)N(S(N)(=O)=O)CC2,363.44,1.437,2,5,True,infection
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.62,4.59,2,7,True,infection
