smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,352.39,4.642,0,4,True,diabetes
CSc1ccccc1N1C(=O)c2cccc(O)c2C1=O,285.32,2.915,1,4,True,diabetes
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,308.38,0.533,4,4,True,diabetes
Cc1cccc(C)c1N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,296.28,3.012,0,4,True,diabetes
CCc1cccc(CC)c1N1C(=O)c2ccc(O)cc2C1=O,295.34,3.318,1,3,True,diabetes
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccccc2C1=O,307.39,4.734,0,2,True,diabetes
O=C(C1CCC[C@H]1B(O)O)[C@@H]1CCCN1,211.07,-0.049,3,4,True,diabetes
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,352.39,4.642,0,4,True,diabetes
CCc1cccc(CC)c1N1C(=O)c2cccc(O)c2C1=O,295.34,3.318,1,3,True,diabetes
Cc1cccc(C)c1N1C(=O)c2ccc(O)cc2C1=O,267.28,2.81,1,3,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,457.31,2.958,2,4,True,diabetes
CS(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,429.56,0.487,2,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,435.47,1.982,2,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](OC(=O)Nc2ccc(I)cc2)C1,457.31,2.958,2,4,True,diabetes
COc1ccc(NC(=O)O[C@@H]2CCC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,393.51,2.663,2,6,True,diabetes
CS(=O)(=O)NCCS(=O)(=O)N[C@@H]1CC[C@@H]([C@H](N)C(=O)N2CCCC2)C1,396.54,-1.427,3,6,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(Cl)c(Cl)c2)C1,418.35,3.571,2,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,395.48,0.782,3,5,True,diabetes
COc1ccc(NC(=O)O[C@H]2CCC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,375.47,2.752,2,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](O)C1,212.29,0.097,2,3,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,395.48,0.782,3,5,True,diabetes
CS(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,429.56,0.487,2,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,380.49,3.08,3,3,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,435.47,1.982,2,5,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc(F)c2)C1,367.45,2.403,2,5,True,diabetes
N[C@@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc3ccccc23)C1,399.52,3.417,2,5,True,diabetes
CS(=O)(=O)c1ccc(S(=O)(=O)N[C@@H]2CC[C@@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,429.56,0.487,2,6,True,diabetes
COc1ccc(NC(=O)O[C@@H]2CCC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,375.47,2.752,2,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)C1,430.55,-0.269,3,6,True,diabetes
CN(C)S(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,458.61,0.334,2,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NC(=O)c2cccc3ccccc23)C1,365.48,2.688,2,3,True,diabetes
N[C@@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc(F)c2)C1,367.45,2.403,2,5,True,diabetes
COc1ccc(NC(=O)O[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,361.44,2.362,2,5,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)C1,383.52,2.599,2,4,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)C1,430.55,-0.269,3,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](OC(=O)Nc2ccccc2-c2ccccc2)C1,407.51,4.021,2,4,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(S(=O)(=O)C(F)(F)F)cc2)C1,483.53,1.377,2,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](NC(=O)Nc2cccc3ccccc23)C1,380.49,3.08,3,3,True,diabetes
CO[C@@H]1CCC[C@H]([C@H](N)C(=O)N2CCCC2)C1,240.35,1.141,1,3,True,diabetes
CS(=O)(=O)c1ccccc1S(=O)(=O)N[C@H]1CC[C@H]([C@H](N)C(=O)N2CCCC2)C1,429.56,0.487,2,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CCC[C@H](OC(=O)Nc2ccc(I)cc2)C1,471.34,3.348,2,4,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CCC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,471.34,3.348,2,4,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CCC[C@H](O)C1,226.32,0.487,2,3,True,diabetes
COc1ccc(NC(=O)O[C@H]2CCC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,393.51,2.663,2,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)C1,430.55,-0.269,3,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](O)C1,212.29,0.097,2,3,True,diabetes
COc1ccc(NC(=O)O[C@@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,379.48,2.273,2,6,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,457.31,2.958,2,4,True,diabetes
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2cccc3ccccc23)C1,398.53,2.99,3,4,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](OC(=O)Nc2ccc(I)cc2)C1,457.31,2.958,2,4,True,diabetes
COc1ccc(NC(=O)O[C@@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,361.44,2.362,2,5,True,diabetes
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,380.49,3.08,3,3,True,diabetes
CS(=O)(=O)NCCS(=O)(=O)N[C@H]1CC[C@H]([C@H](N)C(=O)N2CCCC2)C1,396.54,-1.427,3,6,True,diabetes
N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,419.47,1.7,2,4,True,diabetes
N[C@H](C(=O)N1C[C@H](F)[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,395.45,2.317,2,4,True,diabetes
N[C@H](C(=O)N1CCSC1)C1CCCCC1,228.36,1.427,1,3,True,diabetes
N[C@H](C(=O)N1C[C@@H](F)[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,485.48,2.268,2,5,True,diabetes
N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccccc2C(F)(F)F)CC1,415.43,2.892,2,3,True,diabetes
