smiles,molecular_weight,logp,hbd,hba,passes_lipinski,is_valid
N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCC1,221.30399999999997,1.0184799999999994,1,3,True,True
CCC(C)[C@H](N)C(=O)N1CCCC[C@H]1C#N,223.31999999999994,1.2644799999999998,1,3,True,True
N#C[C@@H]1CSCN1C(=O)C(N)C1CCCC1,239.34399999999997,0.9289799999999996,1,4,True,True
CCC(C)[C@H](N)C(=O)N1COC[C@H]1C#N,211.26499999999996,0.06828000000000012,1,4,True,True
N#C[C@@H]1CSCN1C(=O)C(N)C1CCCCC1,253.37099999999995,1.3190799999999996,1,4,True,True
CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,326.78000000000003,2.309200000000001,1,6,True,True
CCOC(=O)c1cnc(CN(C)C)c2cc(OC)c(OC)cc12.Cl,354.834,2.912100000000002,0,6,True,True
COc1cc2c(C=O)cnc(CN)c2cc1OC.Cl,282.7269999999999,1.9449999999999998,1,5,True,True
COc1cc2c(CO)cnc(CN)c2cc1OC.Cl,284.74299999999994,1.6247999999999998,2,5,True,True
NC(C(=O)N1CCCC1)C1CCCC1,196.29399999999995,1.1262999999999992,1,2,True,True
CCCNC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,339.82300000000004,2.2723,2,5,True,True
N#C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1,193.25,0.2529799999999998,1,3,True,True
CCOC(=O)Nc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,341.795,2.700900000000001,2,6,True,True
O=C([C@H](CO)NCc1ccccc1)N1CCCC1,248.32599999999996,0.7594999999999992,2,3,True,True
CCOC(=O)c1cnc(CN)c2ccc(OC)cc12.Cl,296.75399999999996,2.3006000000000006,1,5,True,True
CCOC(=O)c1cnc(CN)c2cc(OC)c(OCC)cc12.Cl,340.8070000000001,2.6993000000000014,1,6,True,True
N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,235.33099999999996,1.408579999999999,1,3,True,True
CCCC[C@H](N)C(=O)N1CCCC1,184.28299999999993,1.1262999999999999,1,2,True,True
CCCOc1cc2c(CN)ncc(C(=O)OCC)c2cc1OC.Cl,354.834,3.0894000000000017,1,6,True,True
COc1cc2c(C(=O)O)cnc(CN)c2cc1OC.Cl,298.72599999999994,1.8306999999999998,2,5,True,True
CCOC(=O)c1cnc(CCN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,418.36800000000005,2.5632,2,7,True,True
CCOC(=O)c1cnc(CN)c2c(OC)ccc(OC)c12.Cl,326.78000000000003,2.309200000000001,1,6,True,True
CCOC(=O)CCc1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,432.3950000000001,2.8397000000000006,2,7,True,True
NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCCC1,333.4320000000002,2.0327999999999995,2,4,True,True
N#C[C@@H]1CCCN1C(=O)C(N)C1CCCC1,221.30399999999997,1.0184799999999994,1,3,True,True
N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN,224.30799999999996,-0.042719999999999314,2,4,True,True
CCOC(=O)c1cnc(CN)c2cc(OCC)c(OC)cc12.Cl,340.80699999999996,2.6993000000000014,1,6,True,True
NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCCC1,319.40500000000014,1.6426999999999992,2,4,True,True
CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C#N,209.29299999999995,0.8743799999999998,1,3,True,True
N[C@@H](CCC(=O)OCc1ccccc1)C(=O)N1CCCC1,290.3630000000001,1.4596999999999998,1,4,True,True
C[C@@H](O)[C@H](N)C(=O)N1CCCC1,172.22799999999995,-0.6830999999999996,2,3,True,True
COc1cc2c(C(N)=O)cnc(CN)c2cc1OC.Cl,297.742,1.2314,2,5,True,True
CNC(C(=O)N1CCCC1)[C@H](C)O,186.255,-0.4223999999999996,2,3,True,True
CCOC(=O)/C=C/c1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,430.3790000000001,2.920300000000001,2,7,True,True
CCOC(=O)c1cnc(CNC)c2cc(OC)c(OC)cc12.Cl,340.8070000000001,2.569900000000001,1,6,True,True
CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1C#N,209.29299999999995,0.8743799999999998,1,3,True,True
CCOC(=O)c1cnc(CN)c2cc(O)c(OC)cc12.Cl,312.753,2.0062,2,6,True,True
N[C@@H](CCC(=O)O)C(=O)N1CCCC1,200.23799999999994,-0.19909999999999983,2,3,True,True
CC(C)(C)[C@H](N)C(=O)N1CCCC1,184.28299999999993,0.9821999999999999,1,2,True,True
CCOC(=O)Cc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,340.80699999999996,2.2381000000000006,1,6,True,True
CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)c(OC)c12.Cl,356.8060000000001,2.3178000000000005,1,7,True,True
N[C@H](C(=O)N1CCCC1)c1ccccc1,204.27300000000002,1.3087999999999997,1,2,True,True
CCOC(=O)c1cnc(CN)c2c(OC)cc(OC)cc12.Cl,326.78000000000003,2.309200000000001,1,6,True,True
N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc([N+](=O)[O-])cn1,318.33700000000005,0.5058799999999997,2,7,True,True
CCOC(=O)c1cnc(CN)c2c(OC)c(OC)c(OC)cc12.Cl,356.806,2.3178000000000005,1,7,True,True
Cc1cccc(C)c1N1C(=O)c2ccc(N)cc2C1=O,266.3,2.6862400000000006,1,3,True,True
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,323.392,4.439600000000004,1,3,True,True
CSc1ccccc1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,314.32200000000006,3.117300000000002,0,5,True,True
Cc1cccc(C)c1N1C(=O)c2cccc(N)c2C1=O,266.3,2.6862399999999997,1,3,True,True
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc(O)c2C1=O,323.39200000000005,4.439600000000004,1,3,True,True
Cc1cccc(C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,296.2820000000001,3.012240000000002,0,4,True,True
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(N)cc2C1=O,322.408,4.316200000000003,1,3,True,True
Cc1cccc(C)c1N1C(=O)c2ccccc2C1=O,251.285,3.1040400000000012,0,2,True,True
Cc1cccc(C)c1N1C(=O)c2cccc(O)c2C1=O,267.284,2.8096400000000012,1,3,True,True
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,352.3900000000001,4.642200000000004,0,4,True,True
CSc1ccccc1N1C(=O)c2cccc(O)c2C1=O,285.324,2.914700000000002,1,4,True,True
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,308.37800000000004,0.5328000000000004,4,4,True,True
Cc1cccc(C)c1N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,296.28200000000004,3.012240000000001,0,4,True,True
CCc1cccc(CC)c1N1C(=O)c2ccc(O)cc2C1=O,295.338,3.3176000000000014,1,3,True,True
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccccc2C1=O,307.39300000000003,4.734000000000004,0,2,True,True
O=C(C1CCC[C@H]1B(O)O)[C@@H]1CCCN1,211.07,-0.04940000000000028,3,4,True,True
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,352.39000000000004,4.642200000000004,0,4,True,True
CCc1cccc(CC)c1N1C(=O)c2cccc(O)c2C1=O,295.338,3.3176000000000028,1,3,True,True
Cc1cccc(C)c1N1C(=O)c2ccc(O)cc2C1=O,267.284,2.809640000000001,1,3,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,457.31200000000007,2.958100000000001,2,4,True,True
